3409 3409      #   type=2000 audit(0.0:1): initialized
3409 3409  auditd type=2000 audit(0.0:1): initialized 
0 0  init wait for '/dev/block/platform/soc/7824900.sdhci' took 0ms 
0 0  init [libfs_mgr]superblock s_max_mnt_count:65535,/dev/block/bootdevice/by-name/userdata 
0 0  init [libfs_mgr]superblock s_max_mnt_count:65535,/dev/block/bootdevice/by-name/userdata 
0 0  init [libfs_mgr]Setting reserved block count on /dev/block/bootdevice/by-name/userdata to 32768 
0 0  tune2fs tune2fs 1.43.3 (04-Sep-2016) 
0 0  tune2fs Setting reserved blocks gid to 1065 
0 0  tune2fs Setting reserved blocks count to 32768 
0 0  EXT4-fs (mmcblk0p58) Ignoring removed nomblk_io_submit option 
0 0  EXT4-fs (mmcblk0p58) mounted filesystem with ordered data mode. Opts: errors=remount-ro,nomblk_io_submit 
0 0  init [libfs_mgr]check_fs(): mount(/dev/block/bootdevice/by-name/userdata,/data,ext4)=0: Success 
0 0  init [libfs_mgr]check_fs(): unmount(/data) succeeded 
0 0  init [libfs_mgr]Running /system/bin/e2fsck on /dev/block/bootdevice/by-name/userdata 
0 0  e2fsck e2fsck 1.43.3 (04-Sep-2016) 
0 0  e2fsck data: clean, 3081/1413632 files, 146609/5759865 blocks 
0 0  init [libfs_mgr]Running = /system/bin/resize_ext4on = /dev/block/bootdevice/by-name/userdata 
0 0  resize Size for partition(/dev/block/bootdevice/by-name/userdata) is 23039463K. 
0 0  resize Size in superblock is 23039460K. 
0 0  resize Size will (maybe) resize to(after adjust) is 23039460K. 
0 0  resize The size of data already meet the request(size in superblock = size after adjust). 
0 0  resize Partition has been resized,so nothing to do! 
0 0  resize Resize ext4 return 0 
0 0  init [libfs_mgr]Resize ext4 return 0 
0 0  EXT4-fs (mmcblk0p58) mounted filesystem with ordered data mode. Opts: barrier=1,noauto_da_alloc,discard 
0 0  init [libfs_mgr]__mount(source=/dev/block/bootdevice/by-name/userdata,target=/data,type=ext4)=0: Success 
0 0  init [libfs_mgr]/data is file encrypted 
0 0  init [libfs_mgr]superblock s_max_mnt_count:65535,/dev/block/bootdevice/by-name/cache 
0 0  EXT4-fs (mmcblk0p33) mounted filesystem with ordered data mode. Opts: barrier=1 
0 0  init [libfs_mgr]__mount(source=/dev/block/bootdevice/by-name/cache,target=/cache,type=ext4)=0: Success 
0 0  init [libfs_mgr]superblock s_max_mnt_count:65535,/dev/block/bootdevice/by-name/dsp 
0 0  EXT4-fs (mmcblk0p12) mounted filesystem with ordered data mode. Opts: barrier=1 
0 0  init [libfs_mgr]__mount(source=/dev/block/bootdevice/by-name/dsp,target=/vendor/dsp,type=ext4)=0: Success 
0 0  init [libfs_mgr]__mount(source=/dev/block/bootdevice/by-name/modem,target=/vendor/firmware_mnt,type=vfat)=0: Success 
0 0  init [libfs_mgr]superblock s_max_mnt_count:65535,/dev/block/bootdevice/by-name/persist 
0 0  EXT4-fs (mmcblk0p34) mounted filesystem with ordered data mode. Opts: barrier=1 
0 0  init [libfs_mgr]__mount(source=/dev/block/bootdevice/by-name/persist,target=/mnt/vendor/persist,type=ext4)=0: Success 
0 0  init Parsing file /product/etc/init... 
0 0  init Unable to read config file '/product/etc/init': open() failed: No such file or directory 
0 0  init Parsing file /odm/etc/init... 
0 0  init Unable to read config file '/odm/etc/init': open() failed: No such file or directory 
0 0  init Keyring created with id 647946160 in process 1 
0 0  init Command 'mount_all /vendor/etc/fstab.qcom' action=fs (/vendor/etc/init/hw/init.target.rc:45) took 187ms and succeeded 
0 0  init wait for '/dev/block/bootdevice/by-name/oem' took 0ms 
0 0  init Command 'mount ext4 /dev/block/bootdevice/by-name/oem /oem ro nosuid nodev barrier=1' action=fs (/vendor/etc/init/hw/init.target.rc:55) took 0ms and failed: mount() failed: Permission denied 
0 0  init processing action (fs) from (/vendor/etc/init/hw/init.target.rc:504) 
0 0  init wait for '/dev/block/bootdevice/by-name/lenovocust' took 0ms 
0 0  EXT4-fs (mmcblk0p56) mounted filesystem with ordered data mode. Opts: barrier=1 
0 0  init processing action (fs) from (/system/etc/init/logd.rc:18) 
0 0  init processing action (fs) from (/system/etc/init/wifi-events.rc:17) 
0 0  init processing action (post-fs) from (/init.rc:316) 
0 0  init Unable to set property 'ro.boot.flash.locked' to '1' in property file '/system/build.prop': Read-only property was already set 
0 0  init Unable to set property 'ro.vendor.product.manufacturer' to 'LENOVO' in property file '/system/build.prop': Read-only property was already set 
0 0  init Unable to set property 'ro.cutoff_voltage_mv' to '3400' in property file '/system/build.prop': Read-only property was already set 
0 0  init Couldn't load property file '/odm/build.prop': open() failed: No such file or directory: No such file or directory 
0 0  init Unable to set property 'ro.com.android.dataroaming' to 'true' in property file '/vendor/build.prop': Read-only property was already set 
0 0  init Unable to set property 'ro.config.media_vol_default+' to '8' in property file '/vendor/build.prop': Illegal property name 
0 0  selinux avc:  denied  { set } for property=persist.backup.ntpServer pid=1 uid=0 gid=0 scontext=u:r:vendor_init:s0 tcontext=u:object_r:default_prop:s0 tclass=property_service permissive=0 
0 0  init Unable to set property 'persist.backup.ntpServer' to '0.pool.ntp.org' in property file '/vendor/build.prop': SELinux permission check failed 
0 0  selinux avc:  denied  { set } for property=persist.camera.HAL3.enabled pid=1 uid=0 gid=0 scontext=u:r:vendor_init:s0 tcontext=u:object_r:default_prop:s0 tclass=property_service permissive=0 
0 0  init Unable to set property 'persist.camera.HAL3.enabled' to '0' in property file '/vendor/build.prop': SELinux permission check failed 
0 0  selinux avc:  denied  { set } for property=persist.backgrounddata.enable pid=1 uid=0 gid=0 scontext=u:r:vendor_init:s0 tcontext=u:object_r:persist_backgrounddata_prop:s0 tclass=property_service permissive=0 
0 0  init Unable to set property 'persist.backgrounddata.enable' to 'false' in property file '/vendor/build.prop': SELinux permission check failed 
0 0  init Unable to set property 'ro.lenovo.platform' to 'qualcomm' in property file '/vendor/build.prop': Read-only property was already set 
0 0  init Unable to set property 'ro.lenovo.cta' to 'false' in property file '/vendor/build.prop': Read-only property was already set 
0 0  init Unable to set property 'ro.lenovo.lcdsize' to '10.1' in property file '/vendor/build.prop': Read-only property was already set 
0 0  init Unable to set property 'ro.lenovo.cpuinfo' to 'SDM429,4,2.0' in property file '/vendor/build.prop': Read-only property was already set 
0 0  init Unable to set property 'ro.lenovo.region' to 'prc' in property file '/vendor/build.prop': Read-only property was already set 
0 0  init Unable to set property 'ro.lenovo.device' to 'tablet' in property file '/vendor/build.prop': Read-only property was already set 
0 0  init Unable to set property 'ro.lenovo.tablet' to '3gcall' in property file '/vendor/build.prop': Read-only property was already set 
0 0  init Unable to set property 'ro.lenovo.operator' to 'open' in property file '/vendor/build.prop': Read-only property was already set 
0 0  init Unable to set property 'ro.lenovo.bqb' to 'no' in property file '/vendor/build.prop': Read-only property was already set 
0 0  init Unable to set property 'ro.lenovo.wificert' to 'no' in property file '/vendor/build.prop': Read-only property was already set 
0 0  init Unable to set property 'ro.lenovo.signalbars' to 'four' in property file '/vendor/build.prop': Read-only property was already set 
0 0  selinux avc:  denied  { set } for property=ro.product.manufacturer pid=1 uid=0 gid=0 scontext=u:r:vendor_init:s0 tcontext=u:object_r:exported2_default_prop:s0 tclass=property_service permissive=0 
0 0  init Unable to set property 'ro.product.manufacturer' to 'LENOVO' in property file '/vendor/build.prop': SELinux permission check failed 
0 0  init Unable to set property 'ro.lenovo.videocall' to 'false' in property file '/vendor/build.prop': Read-only property was already set 
0 0  init Unable to set property 'ro.lenovo.vibeuistyle' to 'false' in property file '/vendor/build.prop': Read-only property was already set 
0 0  init Unable to set property 'ro.com.android.mobiledata' to 'false' in property file '/vendor/build.prop': Read-only property was already set 
0 0  init Unable to set property 'ro.com.google.clientidbase' to 'android-lenovo-rev2' in property file '/vendor/build.prop': Read-only property was already set 
0 0  init Unable to set property 'ro.boot.flash.locked' to '1' in property file '/vendor/build.prop': Read-only property was already set 
0 0  init Unable to set property 'ro.af.client_heap_size_kbyte' to '7168' in property file '/vendor/build.prop': Read-only property was already set 
0 0  selinux avc:  denied  { set } for property=rild.libpath pid=1 uid=0 gid=0 scontext=u:r:vendor_init:s0 tcontext=u:object_r:default_prop:s0 tclass=property_service permissive=0 
0 0  init Unable to set property 'rild.libpath' to '/vendor/lib64/libril-qc-qmi-1.so' in property file '/vendor/build.prop': SELinux permission check failed 
0 0  init Couldn't load property file '/factory/factory.prop': open() failed: No such file or directory: No such file or directory 
0 0  init /recovery not specified in fstab 
0 0  init starting service 'logd'... 
0 0  init starting service 'servicemanager'... 
0 0  init Created socket '/dev/socket/logd', mode 666, user 1036, group 1036 
0 0  init Created socket '/dev/socket/logdr', mode 666, user 1036, group 1036 
0 0  init Created socket '/dev/socket/logdw', mode 222, user 1036, group 1036 
0 0  init Opened file '/proc/kmsg', flags 0 
0 0  init Opened file '/dev/kmsg', flags 1 
0 0  init starting service 'hwservicemanager'... 
0 0  init starting service 'vndservicemanager'... 
0 0  logd.auditd start 
0 0  init Command 'restorecon --recursive --cross-filesystems /sys/kernel/debug' action=post-fs (/init.rc:340) took 65ms and succeeded 
0 0  selinux SELinux: Skipping restorecon_recursive(/cache) 
0 0  init Command 'chown root log /proc/slabinfo' action=post-fs (/init.rc:360) took 0ms and failed: lchown() failed: Permission denied 
0 0  init Command 'chmod 0440 /proc/slabinfo' action=post-fs (/init.rc:361) took 0ms and failed: fchmodat() failed: Permission denied 
0 0  init Command 'mkdir /metadata/vold' action=post-fs (/init.rc:378) took 0ms and failed: mkdir() failed: Read-only file system 
0 0  init processing action (post-fs) from (/vendor/etc/init/hw/init.qcom.rc:57) 
0 0  init processing action (post-fs) from (/vendor/etc/init/hw/init.target.rc:57) 
0 0  init starting service 'vendor.qseecomd'... 
0 0  init starting service 'exec 3 (/vendor/bin/init.qti.qseecomd.sh)'... 
0 0  init SVC_EXEC pid 408 (uid 1000 gid 1000+0 context default) started; waiting... 
0 0  binder 400:400 ioctl 4018620d 7ff14eb670 returned -22 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 100000 (0x02) 
0 0  pmi632_charger smblib_set_charge_param: fast charge current = 2000000 (0x28) 
0 0  pmi632_charger smblib_set_charge_param: float voltage = 4400000 (0x50) 
0 0  scm_call failed func id 0x72000206, ret: -1, syscall returns: 0x0, 0x0, 0x0 
0 0  QSEECOM qseecom_register_listener: Service 8192 is registered 
0 0  scm_call failed func id 0x72000206, ret: -1, syscall returns: 0x0, 0x0, 0x0 
0 0  QSEECOM qseecom_register_listener: Service 12288 is registered 
0 0  scm_call failed func id 0x72000206, ret: -1, syscall returns: 0x0, 0x0, 0x0 
0 0  QSEECOM qseecom_register_listener: Service 16384 is registered 
0 0  scm_call failed func id 0x72000206, ret: -1, syscall returns: 0x0, 0x0, 0x0 
0 0  QSEECOM qseecom_register_listener: Service 11 is registered 
0 0  scm_call failed func id 0x72000206, ret: -1, syscall returns: 0x0, 0x0, 0x0 
0 0  QSEECOM qseecom_register_listener: Service 10 is registered 
0 0  scm_call failed func id 0x72000206, ret: -1, syscall returns: 0x0, 0x0, 0x0 
0 0  QSEECOM qseecom_register_listener: Service 28672 is registered 
0 0  scm_call failed func id 0x72000206, ret: -1, syscall returns: 0x0, 0x0, 0x0 
0 0  QSEECOM qseecom_register_listener: Service 36864 is registered 
0 0  scm_call failed func id 0x72000206, ret: -1, syscall returns: 0x0, 0x0, 0x0 
0 0  QSEECOM qseecom_register_listener: Service 4352 is registered 
0 0  init Service 'exec 3 (/vendor/bin/init.qti.qseecomd.sh)' (pid 408) exited with status 0 waiting took 0.153000 seconds 
0 0  init processing action (post-fs) from (/system/etc/init/atrace_userdebug.rc:7) 
0 0  init processing action (late-fs) from (/init.rc:381) 
0 0  init starting service 'gatekeeper-1-0'... 
0 0  init starting service 'keymaster-4-0'... 
0 0  init processing action (post-fs-data) from (/init.rc:389) 
0 0  init starting service 'vold'... 
0 0  init starting service 'exec 4 (/system/bin/vdc --wait cryptfs enablefilecrypto)'... 
0 0  init SVC_EXEC pid 424 (uid 0 gid 0+0 context default) started; waiting... 
0 0  vdc Waited 50ms for vold 
0 0  init Service 'exec 4 (/system/bin/vdc --wait cryptfs enablefilecrypto)' (pid 424) exited with status 0 waiting took 0.098000 seconds 
0 0  init Setting policy on /data/bootchart 
0 0  init Policy for /data/bootchart set to 9c1bff1dc21b00c1 modes 127/4 
0 0  init Setting policy on /data/misc 
0 0  init Found policy 9c1bff1dc21b00c1 at /data/misc which matches expected value 
0 0  init Setting policy on /data/local 
0 0  init Found policy 9c1bff1dc21b00c1 at /data/local which matches expected value 
0 0  init Setting policy on /data/vendor 
0 0  init Found policy 9c1bff1dc21b00c1 at /data/vendor which matches expected value 
0 0  init Not setting policy on /data/vendor_ce 
0 0  init Not setting policy on /data/vendor_de 
0 0  init Not setting policy on /data/data 
0 0  init Setting policy on /data/app-private 
0 0  init Policy for /data/app-private set to 9c1bff1dc21b00c1 modes 127/4 
0 0  init Setting policy on /data/app-ephemeral 
0 0  init Policy for /data/app-ephemeral set to 9c1bff1dc21b00c1 modes 127/4 
0 0  init Setting policy on /data/app-asec 
0 0  init Policy for /data/app-asec set to 9c1bff1dc21b00c1 modes 127/4 
0 0  init Setting policy on /data/app-lib 
0 0  init Policy for /data/app-lib set to 9c1bff1dc21b00c1 modes 127/4 
0 0  init Setting policy on /data/app 
0 0  init Policy for /data/app set to 9c1bff1dc21b00c1 modes 127/4 
0 0  init Setting policy on /data/property 
0 0  init Found policy 9c1bff1dc21b00c1 at /data/property which matches expected value 
0 0  init Setting policy on /data/tombstones 
0 0  init Policy for /data/tombstones set to 9c1bff1dc21b00c1 modes 127/4 
0 0  init Setting policy on /data/dalvik-cache 
0 0  init Found policy 9c1bff1dc21b00c1 at /data/dalvik-cache which matches expected value 
0 0  init Setting policy on /data/ota 
0 0  init Policy for /data/ota set to 9c1bff1dc21b00c1 modes 127/4 
0 0  init Setting policy on /data/ota_package 
0 0  init Policy for /data/ota_package set to 9c1bff1dc21b00c1 modes 127/4 
0 0  init Setting policy on /data/resource-cache 
0 0  init Found policy 9c1bff1dc21b00c1 at /data/resource-cache which matches expected value 
0 0  init Not setting policy on /data/lost+found 
0 0  init Setting policy on /data/drm 
0 0  init Policy for /data/drm set to 9c1bff1dc21b00c1 modes 127/4 
0 0  init Setting policy on /data/mediadrm 
0 0  init Policy for /data/mediadrm set to 9c1bff1dc21b00c1 modes 127/4 
0 0  init Setting policy on /data/anr 
0 0  init Policy for /data/anr set to 9c1bff1dc21b00c1 modes 127/4 
0 0  init Setting policy on /data/nfc 
0 0  init Found policy 9c1bff1dc21b00c1 at /data/nfc which matches expected value 
0 0  init Setting policy on /data/backup 
0 0  init Found policy 9c1bff1dc21b00c1 at /data/backup which matches expected value 
0 0  init Setting policy on /data/ss 
0 0  init Policy for /data/ss set to 9c1bff1dc21b00c1 modes 127/4 
0 0  init Setting policy on /data/system 
0 0  init Found policy 9c1bff1dc21b00c1 at /data/system which matches expected value 
0 0  init Not setting policy on /data/system_de 
0 0  init Not setting policy on /data/system_ce 
0 0  init Not setting policy on /data/misc_de 
0 0  init Not setting policy on /data/misc_ce 
0 0  init Not setting policy on /data/user 
0 0  init Not setting policy on /data/user_de 
0 0  init Not setting policy on /data/media 
0 0  init Setting policy on /data/media/obb 
0 0  init Found policy 9c1bff1dc21b00c1 at /data/media/obb which matches expected value 
0 0  init Setting policy on /data/cache 
0 0  init Found policy 9c1bff1dc21b00c1 at /data/cache which matches expected value 
0 0  init starting service 'exec 5 (/system/bin/vdc --wait cryptfs init_user0)'... 
0 0  init SVC_EXEC pid 435 (uid 0 gid 0+0 context default) started; waiting... 
0 0  vdc Waited 0ms for vold 
0 0  init Service 'exec 5 (/system/bin/vdc --wait cryptfs init_user0)' (pid 435) exited with status 0 waiting took 0.073000 seconds 
0 0  selinux SELinux: Skipping restorecon_recursive(/data) 
0 0  init starting service 'exec 6 (/system/bin/tzdatacheck /system/usr/share/zoneinfo /data/misc/zoneinfo)'... 
0 0  init SVC_EXEC pid 437 (uid 1000 gid 1000+0 context default) started; waiting... 
0 0  init Service 'exec 6 (/system/bin/tzdatacheck /system/usr/share/zoneinfo /data/misc/zoneinfo)' (pid 437) exited with status 0 waiting took 0.013000 seconds 
0 0  init processing action (post-fs-data) from (/init.usb.rc:6) 
0 0  init Setting policy on /data/adb 
0 0  init Policy for /data/adb set to 9c1bff1dc21b00c1 modes 127/4 
0 0  init processing action (post-fs-data) from (/vendor/etc/init/hw/init.qcom.rc:258) 
0 0   LctDiagSendData mkdir start 1 
0 0   LctDiagSendData mkdir start 2 
0 0  init Command 'mkdir /data/shared 0755' action=post-fs-data (/vendor/etc/init/hw/init.qcom.rc:379) took 1ms and failed: mkdir() failed: Permission denied 
0 0  init Command 'mkdir /data/fota 0771' action=post-fs-data (/vendor/etc/init/hw/init.qcom.rc:383) took 0ms and failed: mkdir() failed: Permission denied 
0 0  init Command 'start vendor.move_time_data' action=post-fs-data (/vendor/etc/init/hw/init.qcom.rc:452) took 0ms and failed: Could not start service: File /system/bin/move_time_data.sh(labeled "u:object_r:system_file:s0") has incorrect label or no domain transition from u:r:init:s0 to another SELinux domain defined. Have you configured your service correctly? https://source.android.com/security/selinux/device-policy#label_new_services_and_address_denials 
0 0  init processing action (post-fs-data) from (/vendor/etc/init/hw/init.target.rc:65) 
0 0  init Command 'mkdir /data/tombstones 0771 system system' action=post-fs-data (/vendor/etc/init/hw/init.target.rc:66) took 1ms and failed: fchmodat() failed: Permission denied 
0 0  init Command 'mkdir /data/misc/dts 0770 media audio' action=post-fs-data (/vendor/etc/init/hw/init.target.rc:74) took 0ms and failed: mkdir() failed: Permission denied 
0 0  init processing action (post-fs-data) from (/vendor/etc/init/hw/init.target.rc:497) 
0 0  init processing action (post-fs-data) from (init.carrier.rc:37) 
0 0  init Command 'start carrier_switcher' action=post-fs-data (init.carrier.rc:38) took 0ms and failed: Could not start service: File /system/bin/sh(labeled "u:object_r:shell_exec:s0") has incorrect label or no domain transition from u:r:init:s0 to another SELinux domain defined. Have you configured your service correctly? https://source.android.com/security/selinux/device-policy#label_new_services_and_address_denials 
0 0  init processing action (post-fs-data) from (/system/etc/init/bootstat.rc:7) 
0 0  init processing action (post-fs-data) from (/system/etc/init/dpmd.rc:7) 
0 0  init Setting policy on /data/dpm 
0 0  init Policy for /data/dpm set to 9c1bff1dc21b00c1 modes 127/4 
0 0  init processing action (post-fs-data) from (/system/etc/init/incidentd.rc:21) 
0 0  init processing action (post-fs-data) from (/system/etc/init/statsd.rc:25) 
0 0  init processing action (post-fs-data) from (/vendor/etc/init/hostapd.android.rc:9) 
0 0  init processing action (ro.crypto.state=encrypted && ro.crypto.type=file && zygote-start) from (/init.rc:579) 
0 0  init Command 'exec_start update_verifier_nonencrypted' action=ro.crypto.state=encrypted && ro.crypto.type=file && zygote-start (/init.rc:581) took 0ms and failed: Service not found 
